Country,Population,Area,GDP,Birthrate,Deathrate
Afghanistan,31056997,647500,800,46.6,20.34
Albania,3581655,28748,5300,15.11,5.22
Algeria,32930091,2381740,7200,17.14,4.61
American Samoa,57794,199,5800,22.46,3.27
Andorra,71201,468,24000,8.71,6.25
Angola,12127071,1246700,3800,45.11,24.2
Anguilla,13477,102,8800,14.17,5.34
Antigua and Barbuda,69108,443,10900,16.93,5.37
Argentina,39921833,2766890,13700,16.73,7.55
Armenia,2976372,29800,4800,12.07,8.23
Aruba,71891,193,21800,11.03,6.68
Australia,20264082,7686850,31600,12.14,7.51
Austria,8192880,83870,32500,8.74,9.76
Azerbaijan,7961619,86600,5400,20.74,9.75
"Bahamas, The",303770,13940,20200,17.57,9.05
Bahrain,698585,665,23100,17.8,4.14
Bangladesh,147365352,144000,2100,29.8,8.27
Barbados,279912,431,17300,12.71,8.67
Belarus,10293011,207600,7100,11.16,14.02
Belgium,10379067,30528,31100,10.38,10.27
Belize,287730,22966,6800,28.84,5.72
Benin,7862944,112620,1100,38.85,12.22
Bermuda,65773,53,69900,11.4,7.74
Bhutan,2279723,47000,1400,33.65,12.7
Bolivia,8989046,1098580,2900,23.3,7.53
Bosnia and Herzegovina,4498976,51129,5200,8.77,8.27
Botswana,1639833,600370,10700,23.08,29.5
Brazil,188078227,8511965,8300,16.56,6.17
British Virgin Islands,23098,153,38500,14.89,4.42
Brunei,379444,5770,23600,18.79,3.45
Bulgaria,7385367,110910,9600,9.65,14.27
Burkina Faso,13902972,274200,1200,45.62,15.6
Burma,47382633,678500,1700,17.91,9.83
Burundi,8090068,27830,700,42.22,13.46
Cambodia,13881427,181040,2500,26.9,9.06
Cameroon,17340702,475440,2300,33.89,13.47
Canada,33098932,9984670,33900,10.78,7.8
Cape Verde,420979,4033,6200,24.87,6.55
Cayman Islands,45436,262,43800,12.74,4.89
Central African Republic,4303356,622984,1100,33.91,18.65
Chad,9944201,1284000,1400,45.73,16.38
Chile,16134219,756950,11900,15.23,5.81
China,1313973713,9596960,6800,13.25,6.97
Christmas Island,1493,135,,,
Cocos (Keeling) Islands,574,14,,,
Colombia,43593035,1138910,7900,20.48,5.58
Comoros,690948,2170,600,36.93,8.2
"Congo, Democratic Republic of the",62660551,2345410,700,43.69,13.27
"Congo, Republic of the",3702314,342000,1300,42.57,12.93
Cook Islands,21388,240,9100,21,
Costa Rica,4075261,51100,11400,18.32,4.36
Cote d'Ivoire,17654843,322460,1600,35.11,14.84
Croatia,4494749,56542,12400,9.61,11.48
Cuba,11382820,110860,3500,11.89,7.22
Cyprus,784301,9250,21600,12.56,7.68
Czech Republic,10235455,78866,20000,9.02,10.59
Denmark,5450661,43094,34800,11.13,10.36
Djibouti,486530,23000,1000,39.53,19.31
Dominica,68910,754,3800,15.27,6.73
Dominican Republic,9183984,48730,7500,23.22,5.73
East Timor,1062777,15007,800,26.99,6.24
Ecuador,13547510,283560,4300,22.29,4.23
Egypt,78887007,1001450,3900,22.94,5.23
